Dealer_Name,Model,Company,Price ($)
Buddy Storbeck's Diesel Service Inc,Dakota,Dodge,21050.0
Buddy Storbeck's Diesel Service Inc,DeVille,Cadillac,22001.0
Buddy Storbeck's Diesel Service Inc,Diamante,Mitsubishi,19996.083333333332
Buddy Storbeck's Diesel Service Inc,Durango,Dodge,22481.25
Buddy Storbeck's Diesel Service Inc,E-Class,Mercedes-B,31000.0
Buddy Storbeck's Diesel Service Inc,ES300,Lexus,29062.75
Buddy Storbeck's Diesel Service Inc,Eclipse,Mitsubishi,19750.0
Buddy Storbeck's Diesel Service Inc,Elantra,Hyundai,24000.0
Buddy Storbeck's Diesel Service Inc,Eldorado,Cadillac,31555.61111111111
Buddy Storbeck's Diesel Service Inc,Escalade,Cadillac,33010.2
Buddy Storbeck's Diesel Service Inc,Escort,Ford,12700.0
Buddy Storbeck's Diesel Service Inc,Expedition,Ford,22722.222222222223
Buddy Storbeck's Diesel Service Inc,Explorer,Ford,23333.666666666668
Buddy Storbeck's Diesel Service Inc,Firebird,Pontiac,43250.5
Buddy Storbeck's Diesel Service Inc,Focus,Ford,26875.25
Buddy Storbeck's Diesel Service Inc,Forester,Subaru,22750.285714285714
Buddy Storbeck's Diesel Service Inc,Frontier,Nissan,29325.0
Buddy Storbeck's Diesel Service Inc,GS400,Lexus,21751.0
Buddy Storbeck's Diesel Service Inc,GTI,Volkswagen,25900.25
Buddy Storbeck's Diesel Service Inc,Galant,Mitsubishi,36000.0
Buddy Storbeck's Diesel Service Inc,Golf,Volkswagen,20000.666666666668
Buddy Storbeck's Diesel Service Inc,Grand Am,Pontiac,25200.2
Buddy Storbeck's Diesel Service Inc,Grand Cherokee,Jeep,17000.0
Buddy Storbeck's Diesel Service Inc,Grand Marquis,Mercury,31219.65
Buddy Storbeck's Diesel Service Inc,Grand Prix,Pontiac,30500.5
Buddy Storbeck's Diesel Service Inc,I30,Infiniti,26125.0
Buddy Storbeck's Diesel Service Inc,Impala,Chevrolet,14000.0
Buddy Storbeck's Diesel Service Inc,Integra,Acura,45000.5
Buddy Storbeck's Diesel Service Inc,Intrepid,Dodge,11000.0
Buddy Storbeck's Diesel Service Inc,Intrigue,Oldsmobile,39920.2
Buddy Storbeck's Diesel Service Inc,Jetta,Volkswagen,29142.785714285714
Buddy Storbeck's Diesel Service Inc,LHS,Chrysler,25891.363636363636
Buddy Storbeck's Diesel Service Inc,LS,Saturn,14000.0
Buddy Storbeck's Diesel Service Inc,LS400,Lexus,39653.692307692305
Buddy Storbeck's Diesel Service Inc,LW,Saturn,16333.666666666666
Buddy Storbeck's Diesel Service Inc,LX470,Lexus,22000.0
Buddy Storbeck's Diesel Service Inc,Land Cruiser,Toyota,21600.0
Buddy Storbeck's Diesel Service Inc,LeSabre,Buick,20000.0
Buddy Storbeck's Diesel Service Inc,Lumina,Chevrolet,22000.428571428572
Buddy Storbeck's Diesel Service Inc,M-Class,Mercedes-B,18001.0
Buddy Storbeck's Diesel Service Inc,Malibu,Chevrolet,32500.25
Buddy Storbeck's Diesel Service Inc,Maxima,Nissan,21300.6
Buddy Storbeck's Diesel Service Inc,Metro,Chevrolet,20214.428571428572
Buddy Storbeck's Diesel Service Inc,Mirage,Mitsubishi,9500.0
Buddy Storbeck's Diesel Service Inc,Monte Carlo,Chevrolet,20450.333333333332
Buddy Storbeck's Diesel Service Inc,Montero,Mitsubishi,16000.0
Buddy Storbeck's Diesel Service Inc,Montero Sport,Mitsubishi,36722.333333333336
Buddy Storbeck's Diesel Service Inc,Mountaineer,Mercury,21000.0
Buddy Storbeck's Diesel Service Inc,Mustang,Ford,39000.0
Buddy Storbeck's Diesel Service Inc,Mystique,Mercury,9000.5
Buddy Storbeck's Diesel Service Inc,Navigator,Lincoln,33001.0
Buddy Storbeck's Diesel Service Inc,Neon,Plymouth,20200.2
Buddy Storbeck's Diesel Service Inc,Outback,Subaru,38571.71428571428
Buddy Storbeck's Diesel Service Inc,Park Avenue,Buick,39319.4
Buddy Storbeck's Diesel Service Inc,Passat,Volkswagen,18055.666666666668
Buddy Storbeck's Diesel Service Inc,Passport,Honda,23666.666666666668
Buddy Storbeck's Diesel Service Inc,Pathfinder,Nissan,27250.5
Buddy Storbeck's Diesel Service Inc,Prizm,Chevrolet,20450.375
Buddy Storbeck's Diesel Service Inc,Prowler,Plymouth,43665.666666666664
Buddy Storbeck's Diesel Service Inc,Quest,Nissan,15500.5
Buddy Storbeck's Diesel Service Inc,RAV4,Toyota,24167.0
Buddy Storbeck's Diesel Service Inc,RL,Acura,22872.909090909092
Buddy Storbeck's Diesel Service Inc,RX300,Lexus,18000.0
Buddy Storbeck's Diesel Service Inc,Ram Pickup,Dodge,29992.69230769231
Buddy Storbeck's Diesel Service Inc,Ram Van,Dodge,32208.0
Buddy Storbeck's Diesel Service Inc,Ram Wagon,Dodge,19000.25
Buddy Storbeck's Diesel Service Inc,Ranger,Ford,38049.25
Buddy Storbeck's Diesel Service Inc,Regal,Buick,28000.0
Buddy Storbeck's Diesel Service Inc,S-Class,Mercedes-B,27724.625
Buddy Storbeck's Diesel Service Inc,S-Type,Jaguar,23540.0
Buddy Storbeck's Diesel Service Inc,S40,Volvo,23222.333333333332
Buddy Storbeck's Diesel Service Inc,S70,Volvo,25250.0
Buddy Storbeck's Diesel Service Inc,S80,Volvo,21000.0
Buddy Storbeck's Diesel Service Inc,SC,Saturn,39249.625
Buddy Storbeck's Diesel Service Inc,SL,Saturn,22000.0
Buddy Storbeck's Diesel Service Inc,SL-Class,Mercedes-B,30025.25
Buddy Storbeck's Diesel Service Inc,SLK,Mercedes-B,29250.25
Buddy Storbeck's Diesel Service Inc,SLK230,Mercedes-B,49665.666666666664
Buddy Storbeck's Diesel Service Inc,SW,Saturn,36500.0
Buddy Storbeck's Diesel Service Inc,Sable,Mercury,30333.666666666668
Buddy Storbeck's Diesel Service Inc,Sebring Coupe,Chrysler,33883.5
Buddy Storbeck's Diesel Service Inc,Seville,Cadillac,36667.0
Buddy Storbeck's Diesel Service Inc,Sienna,Toyota,12001.0
Buddy Storbeck's Diesel Service Inc,Silhouette,Oldsmobile,20937.6875
Buddy Storbeck's Diesel Service Inc,Sonata,Hyundai,18300.0
Buddy Storbeck's Diesel Service Inc,Stratus,Dodge,31000.25
Buddy Storbeck's Diesel Service Inc,Sunfire,Pontiac,36895.0
Buddy Storbeck's Diesel Service Inc,TL,Acura,21900.0
Buddy Storbeck's Diesel Service Inc,Tacoma,Toyota,24000.0
Buddy Storbeck's Diesel Service Inc,Taurus,Ford,29000.0
Buddy Storbeck's Diesel Service Inc,Town & Country,Chrysler,17001.0
Buddy Storbeck's Diesel Service Inc,Town car,Lincoln,22840.0
Buddy Storbeck's Diesel Service Inc,V70,Volvo,39001.0
Buddy Storbeck's Diesel Service Inc,Villager,Mercury,15250.0
Buddy Storbeck's Diesel Service Inc,Viper,Dodge,29167.0
Buddy Storbeck's Diesel Service Inc,Voyager,Plymouth,30499.875
Buddy Storbeck's Diesel Service Inc,Windstar,Ford,27000.333333333332
Buddy Storbeck's Diesel Service Inc,Wrangler,Jeep,17000.0
Buddy Storbeck's Diesel Service Inc,Xterra,Nissan,9000.0
C & M Motors Inc,3-Sep,Saab,32499.625
C & M Motors Inc,3000GT,Mitsubishi,21500.571428571428
C & M Motors Inc,300M,Chrysler,21500.428571428572
C & M Motors Inc,323i,BMW,15111.111111111111
C & M Motors Inc,328i,BMW,37999.25
C & M Motors Inc,4Runner,Toyota,30250.0
C & M Motors Inc,5-Sep,Saab,28100.0
C & M Motors Inc,528i,BMW,32249.75
C & M Motors Inc,A4,Audi,19500.0
C & M Motors Inc,A6,Audi,22000.285714285714
C & M Motors Inc,Accent,Hyundai,18250.0
C & M Motors Inc,Accord,Honda,23350.4
C & M Motors Inc,Alero,Oldsmobile,17000.0
C & M Motors Inc,Altima,Nissan,20167.0
C & M Motors Inc,Aurora,Oldsmobile,28020.2
C & M Motors Inc,Avenger,Dodge,26375.5
C & M Motors Inc,Beetle,Volkswagen,37000.0
C & M Motors Inc,Bonneville,Pontiac,22800.2
C & M Motors Inc,Boxter,Porsche,25125.5
C & M Motors Inc,Bravada,Oldsmobile,23000.2
C & M Motors Inc,Breeze,Plymouth,19000.0
C & M Motors Inc,C-Class,Mercedes-B,13834.0
C & M Motors Inc,C70,Volvo,30375.0
C & M Motors Inc,CL500,Mercedes-B,24500.666666666668
C & M Motors Inc,CLK Coupe,Mercedes-B,22000.0
C & M Motors Inc,CR-V,Honda,23740.2
C & M Motors Inc,Cabrio,Volkswagen,18300.4
C & M Motors Inc,Camaro,Chevrolet,30750.25
C & M Motors Inc,Camry,Toyota,30250.0
C & M Motors Inc,Caravan,Dodge,20340.0
C & M Motors Inc,Carrera Cabrio,Porsche,32000.0
C & M Motors Inc,Carrera Coupe,Porsche,21250.25
C & M Motors Inc,Cavalier,Chevrolet,20350.0
C & M Motors Inc,Celica,Toyota,36000.6
C & M Motors Inc,Century,Buick,17250.0
C & M Motors Inc,Cherokee,Jeep,25000.0
C & M Motors Inc,Cirrus,Chrysler,12000.0
C & M Motors Inc,Civic,Honda,25233.666666666668
C & M Motors Inc,Concorde,Chrysler,30555.555555555555
C & M Motors Inc,Continental,Lincoln,38799.4
C & M Motors Inc,Contour,Ford,38499.75
C & M Motors Inc,Corolla,Toyota,34667.0
C & M Motors Inc,Corvette,Chevrolet,24666.666666666668
C & M Motors Inc,Cougar,Mercury,28417.0
C & M Motors Inc,Crown Victoria,Ford,21950.0
C & M Motors Inc,Cutlass,Oldsmobile,36800.2
C & M Motors Inc,Dakota,Dodge,15000.0
C & M Motors Inc,DeVille,Cadillac,46266.0
C & M Motors Inc,Diamante,Mitsubishi,26793.466666666667
C & M Motors Inc,Durango,Dodge,24266.666666666668
C & M Motors Inc,E-Class,Mercedes-B,31000.0
C & M Motors Inc,ES300,Lexus,27000.0
C & M Motors Inc,Eclipse,Mitsubishi,23700.2
C & M Motors Inc,Elantra,Hyundai,22000.0
C & M Motors Inc,Eldorado,Cadillac,43999.25
C & M Motors Inc,Escalade,Cadillac,33200.2
C & M Motors Inc,Escort,Ford,11000.0
C & M Motors Inc,Expedition,Ford,12001.0
C & M Motors Inc,Explorer,Ford,36250.25
C & M Motors Inc,F-Series,Ford,18000.0
C & M Motors Inc,Firebird,Pontiac,43000.0
C & M Motors Inc,Focus,Ford,39583.5
C & M Motors Inc,Forester,Subaru,19875.0
C & M Motors Inc,Frontier,Nissan,36500.0
C & M Motors Inc,GS300,Lexus,28333.666666666668
C & M Motors Inc,GS400,Lexus,12000.0
C & M Motors Inc,GTI,Volkswagen,23500.0
C & M Motors Inc,Galant,Mitsubishi,42000.5
C & M Motors Inc,Golf,Volkswagen,17600.5
C & M Motors Inc,Grand Am,Pontiac,17000.0
C & M Motors Inc,Grand Cherokee,Jeep,23875.25
C & M Motors Inc,Grand Marquis,Mercury,30999.833333333332
C & M Motors Inc,Grand Prix,Pontiac,32433.166666666668
C & M Motors Inc,I30,Infiniti,27000.0
C & M Motors Inc,Impala,Chevrolet,21525.25
C & M Motors Inc,Integra,Acura,45001.0
C & M Motors Inc,Intrepid,Dodge,24333.666666666668
C & M Motors Inc,Intrigue,Oldsmobile,34400.0
C & M Motors Inc,Jetta,Volkswagen,31860.05
C & M Motors Inc,LHS,Chrysler,22883.666666666668
C & M Motors Inc,LS,Saturn,36286.0
C & M Motors Inc,LS400,Lexus,34508.77272727273
C & M Motors Inc,LW,Saturn,26222.555555555555
C & M Motors Inc,LX470,Lexus,44250.25
C & M Motors Inc,Land Cruiser,Toyota,18133.666666666668
C & M Motors Inc,Lumina,Chevrolet,42000.333333333336
C & M Motors Inc,M-Class,Mercedes-B,35666.666666666664
C & M Motors Inc,Malibu,Chevrolet,41399.9
C & M Motors Inc,Maxima,Nissan,38000.0
C & M Motors Inc,Metro,Chevrolet,19812.625
C & M Motors Inc,Mirage,Mitsubishi,9000.5
C & M Motors Inc,Monte Carlo,Chevrolet,29667.166666666668
C & M Motors Inc,Montero,Mitsubishi,16125.0
C & M Motors Inc,Montero Sport,Mitsubishi,44000.0
C & M Motors Inc,Mountaineer,Mercury,21250.0
C & M Motors Inc,Mustang,Ford,21200.6
C & M Motors Inc,Mystique,Mercury,9000.0
C & M Motors Inc,Navigator,Lincoln,19601.0
C & M Motors Inc,Neon,Dodge,19000.0
C & M Motors Inc,Neon,Plymouth,23583.5
C & M Motors Inc,Odyssey,Honda,27000.0
C & M Motors Inc,Outback,Subaru,19000.0
C & M Motors Inc,Park Avenue,Buick,41069.6
C & M Motors Inc,Passat,Volkswagen,19187.75
C & M Motors Inc,Passport,Honda,22250.166666666668
C & M Motors Inc,Pathfinder,Nissan,30332.833333333332
C & M Motors Inc,Prizm,Chevrolet,24850.166666666668
C & M Motors Inc,Prowler,Plymouth,23666.666666666668
C & M Motors Inc,Quest,Nissan,27367.333333333332
C & M Motors Inc,RAV4,Toyota,33999.5
C & M Motors Inc,RL,Acura,26800.5
C & M Motors Inc,Ram Pickup,Dodge,26650.0
C & M Motors Inc,Ram Van,Dodge,29399.7
C & M Motors Inc,Ram Wagon,Dodge,22000.5
C & M Motors Inc,Ranger,Ford,37999.75
C & M Motors Inc,Regal,Buick,36000.0
C & M Motors Inc,S-Class,Mercedes-B,24874.9375
C & M Motors Inc,S-Type,Jaguar,29167.166666666668
C & M Motors Inc,S40,Volvo,33917.0
C & M Motors Inc,S70,Volvo,23875.0
C & M Motors Inc,S80,Volvo,25100.2
C & M Motors Inc,SC,Saturn,45499.416666666664
C & M Motors Inc,SL,Saturn,15500.0
C & M Motors Inc,SL-Class,Mercedes-B,22420.0
C & M Motors Inc,SLK,Mercedes-B,31200.2
C & M Motors Inc,SLK230,Mercedes-B,21700.0
C & M Motors Inc,SW,Saturn,25001.0
C & M Motors Inc,Sable,Mercury,42387.5
C & M Motors Inc,Sebring Coupe,Chrysler,19750.25
C & M Motors Inc,Sentra,Nissan,16001.0
C & M Motors Inc,Seville,Cadillac,38500.25
C & M Motors Inc,Sienna,Toyota,22586.0
C & M Motors Inc,Silhouette,Oldsmobile,31027.454545454544
C & M Motors Inc,Sonata,Hyundai,13500.0
C & M Motors Inc,Stratus,Dodge,29500.5
C & M Motors Inc,Sunfire,Pontiac,30143.14285714286
C & M Motors Inc,TL,Acura,21250.333333333332
C & M Motors Inc,Tacoma,Toyota,35843.28571428572
C & M Motors Inc,Taurus,Ford,43001.0
C & M Motors Inc,Town car,Lincoln,17520.2
C & M Motors Inc,V40,Volvo,18000.0
C & M Motors Inc,Villager,Mercury,17687.5
C & M Motors Inc,Viper,Dodge,28062.75
C & M Motors Inc,Voyager,Plymouth,19167.166666666668
C & M Motors Inc,Windstar,Ford,25025.0
C & M Motors Inc,Wrangler,Jeep,13260.333333333334
C & M Motors Inc,Xterra,Nissan,17500.0
Capitol KIA,3-Sep,Saab,57998.5
Capitol KIA,3000GT,Mitsubishi,20700.076923076922
Capitol KIA,300M,Chrysler,23500.14285714286
Capitol KIA,323i,BMW,19833.833333333332
Capitol KIA,328i,BMW,32514.0
Capitol KIA,4Runner,Toyota,28666.666666666668
Capitol KIA,5-Sep,Saab,28001.0
Capitol KIA,528i,BMW,30780.1
Capitol KIA,A4,Audi,27000.0
Capitol KIA,A6,Audi,17333.5
Capitol KIA,A8,Audi,44331.0
Capitol KIA,Accent,Hyundai,18000.0
Capitol KIA,Accord,Honda,29750.25
Capitol KIA,Altima,Nissan,20000.0
Capitol KIA,Aurora,Oldsmobile,38666.166666666664
Capitol KIA,Avenger,Dodge,19000.0
Capitol KIA,Beetle,Volkswagen,37000.666666666664
Capitol KIA,Bonneville,Pontiac,23500.25
Capitol KIA,Bravada,Oldsmobile,20000.14285714286
Capitol KIA,Breeze,Plymouth,39000.0
Capitol KIA,C-Class,Mercedes-B,13440.2
Capitol KIA,C70,Volvo,39249.25
Capitol KIA,CL500,Mercedes-B,27700.2
Capitol KIA,CR-V,Honda,21750.5
Capitol KIA,Cabrio,Volkswagen,18500.5
Capitol KIA,Camaro,Chevrolet,30875.25
Capitol KIA,Camry,Toyota,32800.0
Capitol KIA,Caravan,Dodge,23750.0
Capitol KIA,Carrera Cabrio,Porsche,26200.333333333332
Capitol KIA,Carrera Coupe,Porsche,20000.166666666668
Capitol KIA,Catera,Cadillac,28033.666666666668
Capitol KIA,Cavalier,Chevrolet,19380.4
Capitol KIA,Celica,Toyota,18500.8
Capitol KIA,Century,Buick,17000.0
Capitol KIA,Cherokee,Jeep,25000.0
Capitol KIA,Civic,Honda,43866.666666666664
Capitol KIA,Concorde,Chrysler,25666.666666666668
Capitol KIA,Continental,Lincoln,30166.583333333332
Capitol KIA,Contour,Ford,48248.875
Capitol KIA,Corolla,Toyota,16125.5
Capitol KIA,Corvette,Chevrolet,34875.375
Capitol KIA,Cougar,Mercury,22000.0
Capitol KIA,Crown Victoria,Ford,27460.4
Capitol KIA,Cutlass,Oldsmobile,37000.5
Capitol KIA,Dakota,Dodge,21000.0
Capitol KIA,DeVille,Cadillac,31024.875
Capitol KIA,Diamante,Mitsubishi,21731.0
Capitol KIA,Durango,Dodge,20900.166666666668
Capitol KIA,E-Class,Mercedes-B,25767.0
Capitol KIA,ES300,Lexus,29533.333333333332
Capitol KIA,Eclipse,Mitsubishi,21567.333333333332
Capitol KIA,Eldorado,Cadillac,34687.5
Capitol KIA,Escalade,Cadillac,32000.6
Capitol KIA,Escort,Ford,11666.666666666666
Capitol KIA,Expedition,Ford,30520.2
Capitol KIA,Explorer,Ford,32071.428571428572
Capitol KIA,F-Series,Ford,13500.0
Capitol KIA,Firebird,Pontiac,43000.0
Capitol KIA,Focus,Ford,33000.25
Capitol KIA,Forester,Subaru,22428.85714285714
Capitol KIA,Frontier,Nissan,28572.14285714286
Capitol KIA,GS300,Lexus,34000.0
Capitol KIA,GS400,Lexus,28000.0
Capitol KIA,GTI,Volkswagen,24120.2
Capitol KIA,Galant,Mitsubishi,36000.0
Capitol KIA,Golf,Volkswagen,26375.25
Capitol KIA,Grand Am,Pontiac,20667.333333333332
Capitol KIA,Grand Cherokee,Jeep,15000.0
Capitol KIA,Grand Marquis,Mercury,23222.166666666668
Capitol KIA,Grand Prix,Pontiac,29500.083333333332
Capitol KIA,I30,Infiniti,20750.25
Capitol KIA,Impala,Chevrolet,14000.0
Capitol KIA,Integra,Acura,45000.0
Capitol KIA,Intrepid,Dodge,11000.5
Capitol KIA,Intrigue,Oldsmobile,41775.5
Capitol KIA,Jetta,Volkswagen,25814.285714285714
Capitol KIA,LHS,Chrysler,30257.285714285714
Capitol KIA,LS,Saturn,49000.0
Capitol KIA,LS400,Lexus,40282.13636363636
Capitol KIA,LW,Saturn,24625.0
Capitol KIA,LX470,Lexus,34500.0
Capitol KIA,Land Cruiser,Toyota,18750.25
Capitol KIA,LeSabre,Buick,20166.666666666668
Capitol KIA,Lumina,Chevrolet,23420.2
Capitol KIA,M-Class,Mercedes-B,21625.5
Capitol KIA,Malibu,Chevrolet,31187.4375
Capitol KIA,Maxima,Nissan,31750.25
Capitol KIA,Metro,Chevrolet,25167.0
Capitol KIA,Monte Carlo,Chevrolet,26000.0
Capitol KIA,Montero Sport,Mitsubishi,32686.14285714286
Capitol KIA,Mountaineer,Mercury,21000.0
Capitol KIA,Mustang,Ford,28600.4
Capitol KIA,Mystique,Mercury,9500.0
Capitol KIA,Navigator,Lincoln,19300.0
Capitol KIA,Neon,Dodge,19000.0
Capitol KIA,Neon,Plymouth,18125.25
Capitol KIA,Outback,Subaru,31667.0
Capitol KIA,Park Avenue,Buick,34999.25
Capitol KIA,Passat,Volkswagen,24750.2
Capitol KIA,Passport,Honda,24500.0
Capitol KIA,Pathfinder,Nissan,30166.944444444445
Capitol KIA,Prizm,Chevrolet,22927.272727272728
Capitol KIA,Prowler,Plymouth,36499.25
Capitol KIA,Quest,Nissan,22000.5
Capitol KIA,RAV4,Toyota,31583.083333333332
Capitol KIA,RL,Acura,22115.5
Capitol KIA,RX300,Lexus,18000.0
Capitol KIA,Ram Pickup,Dodge,26591.18181818182
Capitol KIA,Ram Van,Dodge,46666.0
Capitol KIA,Ram Wagon,Dodge,20900.4
Capitol KIA,Ranger,Ford,37999.25
Capitol KIA,Regal,Buick,24400.2
Capitol KIA,S-Class,Mercedes-B,28571.0
Capitol KIA,S-Type,Jaguar,26600.8
Capitol KIA,S40,Volvo,21427.545454545456
Capitol KIA,S70,Volvo,25320.2
Capitol KIA,SC,Saturn,38799.6
Capitol KIA,SL,Saturn,20000.0
Capitol KIA,SL-Class,Mercedes-B,34166.666666666664
Capitol KIA,SLK,Mercedes-B,25166.666666666668
Capitol KIA,SLK230,Mercedes-B,33601.0
Capitol KIA,SW,Saturn,25001.0
Capitol KIA,Sable,Mercury,40999.833333333336
Capitol KIA,Sebring Conv.,Chrysler,16000.0
Capitol KIA,Sebring Coupe,Chrysler,27500.333333333332
Capitol KIA,Sentra,Nissan,16000.0
Capitol KIA,Seville,Cadillac,44001.0
Capitol KIA,Sienna,Toyota,13334.0
Capitol KIA,Silhouette,Oldsmobile,28872.545454545456
Capitol KIA,Sonata,Hyundai,17000.0
Capitol KIA,Stratus,Dodge,31167.666666666668
Capitol KIA,Sunfire,Pontiac,33714.57142857143
Capitol KIA,TL,Acura,22887.875
Capitol KIA,Tacoma,Toyota,37271.21428571428
Capitol KIA,Taurus,Ford,48998.875
Capitol KIA,Town & Country,Chrysler,17000.0
Capitol KIA,Town car,Lincoln,29500.0
Capitol KIA,Villager,Mercury,18666.666666666668
Capitol KIA,Viper,Dodge,32142.85714285714
Capitol KIA,Voyager,Plymouth,28099.7
Capitol KIA,Windstar,Ford,25000.5
Capitol KIA,Wrangler,Jeep,18600.0
Capitol KIA,Xterra,Nissan,9000.0
Chrysler Plymouth,3-Sep,Saab,40266.25
Chrysler Plymouth,3000GT,Mitsubishi,23357.14285714286
Chrysler Plymouth,300M,Chrysler,25000.0
Chrysler Plymouth,323i,BMW,17142.85714285714
Chrysler Plymouth,328i,BMW,27916.75
Chrysler Plymouth,4Runner,Toyota,26200.0
Chrysler Plymouth,5-Sep,Saab,34500.0
Chrysler Plymouth,528i,BMW,22510.3
Chrysler Plymouth,A4,Audi,19500.25
Chrysler Plymouth,A6,Audi,20621.428571428572
Chrysler Plymouth,A8,Audi,44000.0
Chrysler Plymouth,Accord,Honda,24500.571428571428
Chrysler Plymouth,Aurora,Oldsmobile,40999.25
Chrysler Plymouth,Avalon,Toyota,18000.0
Chrysler Plymouth,Avenger,Dodge,16001.0
Chrysler Plymouth,Beetle,Volkswagen,45001.0
Chrysler Plymouth,Bonneville,Pontiac,19200.2
Chrysler Plymouth,Boxter,Porsche,14200.0
Chrysler Plymouth,Bravada,Oldsmobile,21666.833333333332
Chrysler Plymouth,Breeze,Plymouth,39000.0
Chrysler Plymouth,C-Class,Mercedes-B,13775.25
Chrysler Plymouth,C70,Volvo,23000.125
Chrysler Plymouth,CL500,Mercedes-B,24500.166666666668
Chrysler Plymouth,CR-V,Honda,24333.666666666668
Chrysler Plymouth,Cabrio,Volkswagen,19333.333333333332
Chrysler Plymouth,Camaro,Chevrolet,30812.75
Chrysler Plymouth,Camry,Toyota,31444.777777777777
Chrysler Plymouth,Caravan,Dodge,30750.0
Chrysler Plymouth,Carrera Cabrio,Porsche,32300.0
Chrysler Plymouth,Carrera Coupe,Porsche,21500.25
Chrysler Plymouth,Catera,Cadillac,37999.833333333336
Chrysler Plymouth,Cavalier,Chevrolet,17750.4
Chrysler Plymouth,Celica,Toyota,17400.2
Chrysler Plymouth,Century,Buick,17000.0
Chrysler Plymouth,Cherokee,Jeep,14500.0
Chrysler Plymouth,Cirrus,Chrysler,12500.0
Chrysler Plymouth,Civic,Honda,44000.0
Chrysler Plymouth,Concorde,Chrysler,27396.666666666668
Chrysler Plymouth,Continental,Lincoln,39666.416666666664
Chrysler Plymouth,Contour,Ford,38532.583333333336
Chrysler Plymouth,Corolla,Toyota,17240.4
Chrysler Plymouth,Corvette,Chevrolet,29550.2
Chrysler Plymouth,Cougar,Mercury,33000.0
Chrysler Plymouth,Crown Victoria,Ford,20001.0
Chrysler Plymouth,Cutlass,Oldsmobile,34230.0
